Wavelength	Extrapolation Prescription	Cutoff prescription
nm	cm^2	cm^2
203.454	1.74E-23	1.74E-23
203.519	1.70E-23	1.70E-23
203.584	1.71E-23	1.71E-23
203.649	1.62E-23	1.62E-23
203.714	1.57E-23	1.57E-23
203.779	1.55E-23	1.55E-23
203.844	1.53E-23	1.53E-23
203.909	1.50E-23	1.50E-23
203.974	1.49E-23	1.49E-23
204.039	1.42E-23	1.42E-23
204.104	1.40E-23	1.40E-23
204.169	1.39E-23	1.39E-23
204.234	1.33E-23	1.33E-23
204.3	1.31E-23	1.31E-23
204.365	1.29E-23	1.29E-23
204.43	1.27E-23	1.27E-23
204.495	1.23E-23	1.23E-23
204.56	1.24E-23	1.24E-23
204.625	1.18E-23	1.18E-23
204.69	1.17E-23	1.17E-23
204.755	1.15E-23	1.15E-23
204.82	1.10E-23	1.10E-23
204.885	1.08E-23	1.08E-23
204.95	1.02E-23	1.02E-23
205.015	1.05E-23	1.05E-23
205.08	1.04E-23	1.04E-23
205.145	1.01E-23	1.01E-23
205.21	1.02E-23	1.02E-23
205.276	9.56E-24	9.56E-24
205.341	9.39E-24	9.39E-24
205.406	8.98E-24	8.98E-24
205.471	8.72E-24	8.72E-24
205.536	8.73E-24	8.73E-24
205.601	8.61E-24	8.61E-24
205.666	8.64E-24	8.64E-24
205.731	8.20E-24	8.20E-24
205.796	7.71E-24	7.71E-24
205.861	8.17E-24	8.17E-24
205.926	7.67E-24	7.67E-24
205.991	7.47E-24	7.67E-24
206.056	7.27E-24	7.40E-24
206.121	7.07E-24	7.34E-24
206.186	6.88E-24	6.76E-24
206.251	6.70E-24	7.17E-24
206.316	6.52E-24	6.92E-24
206.381	6.34E-24	6.65E-24
206.447	6.17E-24	6.40E-24
206.512	6.01E-24	6.24E-24
206.577	5.84E-24	6.44E-24
206.642	5.69E-24	6.25E-24
206.707	5.53E-24	6.02E-24
206.772	5.39E-24	5.98E-24
206.837	5.24E-24	6.29E-24
206.902	5.10E-24	5.89E-24
206.967	4.96E-24	5.08E-24
207.032	4.83E-24	5.64E-24
207.097	4.70E-24	5.64E-24
207.162	4.57E-24	5.51E-24
207.227	4.45E-24	5.39E-24
207.292	4.33E-24	5.09E-24
207.357	4.22E-24	5.09E-24
207.422	4.10E-24	4.87E-24
207.487	3.99E-24	4.45E-24
207.552	3.89E-24	4.67E-24
207.617	3.78E-24	4.80E-24
207.682	3.68E-24	4.46E-24
207.747	3.58E-24	4.53E-24
207.812	3.48E-24	4.47E-24
207.877	3.39E-24	4.51E-24
207.943	3.30E-24	4.29E-24
208.008	3.21E-24	4.38E-24
208.073	3.12E-24	3.91E-24
208.138	3.04E-24	4.18E-24
208.203	2.96E-24	4.01E-24
208.268	2.88E-24	3.85E-24
208.333	2.80E-24	3.57E-24
208.398	2.73E-24	3.65E-24
208.463	2.65E-24	3.81E-24
208.528	2.58E-24	3.11E-24
208.593	2.51E-24	3.16E-24
208.658	2.45E-24	3.62E-24
208.723	2.38E-24	3.61E-24
208.788	2.32E-24	3.23E-24
208.853	2.25E-24	3.13E-24
208.918	2.19E-24	2.98E-24
208.983	2.13E-24	2.95E-24
209.048	2.08E-24	3.29E-24
209.113	2.02E-24	3.00E-24
209.178	1.97E-24	2.99E-24
209.243	1.91E-24	2.78E-24
209.308	1.86E-24	2.59E-24
209.373	1.81E-24	2.91E-24
209.438	1.76E-24	2.79E-24
209.503	1.72E-24	2.40E-24
209.568	1.67E-24	2.37E-24
209.633	1.63E-24	2.69E-24
209.698	1.58E-24	2.82E-24
209.763	1.54E-24	2.67E-24
209.828	1.50E-24	2.31E-24
209.893	1.46E-24	2.12E-24
209.958	1.42E-24	2.57E-24
210.023	1.38E-24	2.25E-24
210.088	1.34E-24	2.37E-24
210.153	1.31E-24	2.57E-24
210.219	1.27E-24	2.19E-24
210.284	1.24E-24	2.46E-24
210.349	1.21E-24	2.39E-24
210.414	1.17E-24	1.87E-24
210.479	1.14E-24	1.61E-24
210.544	1.11E-24	2.14E-24
210.609	1.08E-24	1.74E-24
210.674	1.05E-24	2.03E-24
210.739	1.02E-24	1.70E-24
210.804	9.96E-25	1.45E-24
210.869	9.69E-25	1.64E-24
210.934	9.43E-25	1.91E-24
210.999	9.18E-25	1.83E-24
211.064	8.93E-25	1.86E-24
211.129	8.69E-25	1.86E-24
211.194	8.46E-25	1.25E-24
211.259	8.23E-25	1.56E-24
211.324	8.01E-25	1.44E-24
211.389	7.80E-25	1.34E-24
211.454	7.59E-25	1.86E-24
211.519	7.38E-25	1.38E-24
211.584	7.18E-25	1.46E-24
211.649	6.99E-25	1.51E-24
211.714	6.80E-25	1.77E-24
211.779	6.62E-25	1.50E-24
211.844	6.44E-25	1.55E-24
211.909	6.27E-25	1.29E-24
211.974	6.10E-25	1.72E-24
212.039	5.94E-25	1.51E-24
212.104	5.78E-25	1.50E-24
212.169	5.62E-25	1.41E-24
212.234	5.47E-25	1.64E-24
212.299	5.33E-25	8.43E-25
212.364	5.18E-25	1.30E-24
212.429	5.04E-25	1.53E-24
212.494	4.91E-25	1.22E-24
212.559	4.78E-25	1.55E-24
212.624	4.65E-25	7.10E-25
212.689	4.52E-25	7.97E-25
212.754	4.40E-25	9.50E-25
212.819	4.28E-25	1.21E-24
212.884	4.17E-25	1.13E-24
212.949	4.06E-25	9.34E-25
213.014	3.95E-25	1.21E-24
213.079	3.84E-25	9.56E-25
213.144	3.74E-25	9.98E-25
213.209	3.64E-25	8.13E-25
213.274	3.54E-25	5.61E-25
213.339	3.44E-25	1.01E-24
213.404	3.35E-25	1.27E-24
213.469	3.26E-25	7.84E-25
213.534	3.17E-25	1.34E-24
213.599	3.09E-25	5.18E-25
213.664	3.01E-25	8.71E-25
213.729	2.93E-25	5.14E-25
213.794	2.85E-25	9.11E-25
213.859	2.77E-25	5.53E-25
213.924	2.70E-25	8.31E-25
213.989	2.62E-25	1.37E-24
214.054	2.55E-25	9.79E-25
214.119	2.48E-25	6.45E-25
214.184	2.42E-25	8.77E-25
214.249	2.35E-25	7.73E-25
214.314	2.29E-25	2.81E-25
214.379	2.23E-25	8.36E-25
214.444	2.17E-25	8.42E-25
214.509	2.11E-25	4.28E-25
214.574	2.05E-25	2.05E-25
214.638	2.00E-25	5.84E-25
214.703	1.94E-25	6.00E-25
214.768	1.89E-25	2.93E-25
214.833	1.84E-25	7.91E-25
214.898	1.79E-25	4.96E-25
214.963	1.74E-25	2.92E-25
215.028	1.70E-25	5.93E-25
215.093	1.65E-25	6.06E-25
215.158	1.61E-25	1.23E-25
215.223	1.56E-25	5.55E-25
215.288	1.52E-25	5.90E-25
215.353	1.48E-25	7.54E-25
215.418	1.44E-25	6.42E-25
215.483	1.40E-25	8.31E-25
215.548	1.37E-25	2.98E-25
215.613	1.33E-25	2.40E-25
215.678	1.29E-25	1.61E-25
215.743	1.26E-25	6.96E-25
215.808	1.22E-25	5.72E-25
215.873	1.19E-25	3.20E-25
215.938	1.16E-25	5.39E-25
216.003	1.13E-25	5.97E-25
216.068	1.10E-25	2.91E-25
216.133	1.07E-25	1.88E-25
216.198	1.04E-25	3.82E-25
216.263	1.01E-25	1.53E-25
216.328	9.85E-26	4.82E-25
216.393	9.58E-26	
216.458	9.33E-26	
216.523	9.08E-26	
216.588	8.83E-26	
216.653	8.59E-26	
216.718	8.36E-26	
216.783	8.14E-26	
216.848	7.92E-26	
216.912	7.71E-26	
216.977	7.50E-26	
217.042	7.30E-26	
217.107	7.10E-26	
217.172	6.91E-26	
217.237	6.73E-26	
217.302	6.55E-26	
217.367	6.37E-26	
217.432	6.20E-26	
217.497	6.03E-26	
217.562	5.87E-26	
217.627	5.71E-26	
217.692	5.56E-26	
217.757	5.41E-26	
217.822	5.27E-26	
217.887	5.12E-26	
217.952	4.99E-26	
218.017	4.85E-26	
218.082	4.72E-26	
218.147	4.60E-26	
218.212	4.47E-26	
218.277	4.35E-26	
218.342	4.23E-26	
218.406	4.12E-26	
218.471	4.01E-26	
218.536	3.90E-26	
218.601	3.80E-26	
218.666	3.70E-26	
218.731	3.60E-26	
218.796	3.50E-26	
218.861	3.41E-26	
218.926	3.31E-26	
218.991	3.23E-26	
219.056	3.14E-26	
219.121	3.05E-26	
219.186	2.97E-26	
219.251	2.89E-26	
219.316	2.82E-26	
219.381	2.74E-26	
219.446	2.67E-26	
219.511	2.59E-26	
219.575	2.52E-26	
219.64	2.46E-26	
219.705	2.39E-26	
219.77	2.33E-26	
219.835	2.26E-26	
219.9	2.20E-26	
219.965	2.14E-26	
220.03	2.09E-26	
220.095	2.03E-26	
220.16	1.98E-26	
220.225	1.92E-26	
220.29	1.87E-26	
220.355	1.82E-26	
220.42	1.77E-26	
220.485	1.72E-26	
